ID; COMPRAS ACUMULADAS ;MESES CUMPLIENDO VENTAS;ESTADO CIVIL;SEXO;Ubicaci—n geogr‡fica
1019; $ 651.452.550 ;8;CASADO;FEMENINO;Oeste
1020; $ 424.171.350 ;9;CASADO;FEMENINO;Oeste
1021; $ 1.335.286.850 ;9;CASADO;FEMENINO;Oeste
1022; $ 673.902.150 ;9;CASADO;FEMENINO;Oeste
1023; $ 512.880.700 ;9;CASADO;FEMENINO;Oeste
1024; $ 476.208.400 ;9;CASADO;FEMENINO;Oeste
1025; $ 288.769.100 ;3;CASADO;FEMENINO;Oeste
1026; $ 636.248.400 ;6;CASADO;FEMENINO;Oeste
1027; $ 661.793.850 ;3;CASADO;FEMENINO;Oeste
1028; $ 472.166.000 ;5;CASADO;FEMENINO;Oeste
1029; $ 289.879.150 ;2;CASADO;FEMENINO;Oeste
1030; $ 557.039.000 ;6;CASADO;FEMENINO;Oeste
1031; $ 335.481.750 ;3;CASADO;FEMENINO;Oeste
1032; $ 272.585.900 ;7;CASADO;FEMENINO;Oeste
1033; $ 610.765.650 ;7;CASADO;FEMENINO;Oeste
1034; $ 357.944.700 ;3;CASADO;FEMENINO;Oeste
1035; $ 521.196.200 ;8;CASADO;FEMENINO;Oeste
1036; $ 283.294.150 ;1;CASADO;FEMENINO;Oeste
1037; $ 504.267.050 ;8;CASADO;FEMENINO;Oeste
1038; $ 452.479.500 ;1;CASADO;FEMENINO;Oeste
1039; $ 374.839.850 ;4;CASADO;FEMENINO;Oeste
1040; $ 433.104.650 ;4;CASADO;FEMENINO;Oeste
1041; $ 617.055.900 ;4;CASADO;FEMENINO;Oeste
1042; $ 610.205.800 ;5;CASADO;FEMENINO;Oeste
1043; $ 210.956.800 ;2;CASADO;FEMENINO;Oeste
1044; $ 333.207.900 ;3;CASADO;FEMENINO;Oeste
1045; $ 336.604.800 ;7;CASADO;FEMENINO;Oeste
1046; $ 335.949.550 ;1;CASADO;FEMENINO;Oeste
1047; $ 459.935.250 ;6;CASADO;FEMENINO;Oeste
1048; $ 1.615.638.050 ;6;CASADO;FEMENINO;Oeste
1049; $ 323.599.800 ;7;CASADO;FEMENINO;Oeste
1050; $ 478.520.150 ;0;CASADO;FEMENINO;Oeste
1051; $ 517.643.600 ;5;CASADO;FEMENINO;Oeste
1052; $ 427.758.950 ;6;CASADO;FEMENINO;Oeste
1053; $ 630.379.100 ;4;CASADO;FEMENINO;Oeste
1054; $ 1.202.445.700 ;5;CASADO;FEMENINO;Oeste
1055; $ 260.123.150 ;7;CASADO;FEMENINO;Oeste
1056; $ 505.769.900 ;1;SOLTERO;FEMENINO;Oeste
1057; $ 549.207.700 ;6;SOLTERO;FEMENINO;Oeste
1058; $ 715.939.650 ;4;SOLTERO;FEMENINO;Oeste
1059; $ 273.824.900 ;3;SOLTERO;FEMENINO;Oeste
1060; $ 440.468.200 ;4;SOLTERO;FEMENINO;Oeste
1061; $ 1.055.824.100 ;2;SOLTERO;FEMENINO;Oeste
1062; $ 723.193.250 ;0;SOLTERO;FEMENINO;Oeste
1063; $ 622.323.450 ;7;SOLTERO;FEMENINO;Oeste
1064; $ 918.099.500 ;2;SOLTERO;FEMENINO;Oeste
1065; $ 873.162.600 ;2;SOLTERO;FEMENINO;Oeste
1066; $ 1.254.727.250 ;5;SOLTERO;FEMENINO;Oeste
1067; $ 843.830.700 ;2;SOLTERO;FEMENINO;Oeste
1068; $ 621.536.300 ;6;SOLTERO;FEMENINO;Oeste
1069; $ 946.183.200 ;6;SOLTERO;FEMENINO;Oeste
1070; $ 343.424.700 ;1;SOLTERO;FEMENINO;Oeste
1071; $ 433.484.550 ;4;SOLTERO;FEMENINO;Oeste
1072; $ 634.540.650 ;4;SOLTERO;FEMENINO;Oeste
1073; $ 492.124.550 ;3;SOLTERO;FEMENINO;Oeste
1074; $ 902.966.900 ;3;SOLTERO;FEMENINO;Oeste
1075; $ 366.815.000 ;7;SOLTERO;FEMENINO;Oeste
1076; $ 298.049.750 ;2;SOLTERO;FEMENINO;Oeste
1077; $ 441.270.800 ;5;SOLTERO;FEMENINO;Oeste
1078; $ 488.292.050 ;5;SOLTERO;FEMENINO;Oeste
1079; $ 930.366.950 ;2;SOLTERO;FEMENINO;Oeste
1080; $ 478.766.550 ;1;SOLTERO;FEMENINO;Oeste
1081; $ 379.748.750 ;1;SOLTERO;FEMENINO;Oeste
1082; $ 653.938.250 ;7;SOLTERO;FEMENINO;Oeste
1083; $ 926.287.350 ;3;SOLTERO;FEMENINO;Oeste
1084; $ 819.883.400 ;4;SOLTERO;FEMENINO;Oeste
1085; $ 350.457.250 ;4;SOLTERO;FEMENINO;Oeste
1086; $ 398.791.700 ;9;SOLTERO;FEMENINO;Oeste
1087; $ 318.649.150 ;3;SOLTERO;FEMENINO;Oeste
1088; $ 340.966.100 ;1;SOLTERO;FEMENINO;Oeste
1089; $ 467.045.300 ;1;SOLTERO;FEMENINO;Oeste
1090; $ 388.238.800 ;6;SOLTERO;FEMENINO;Oeste
1091; $ 627.521.550 ;1;SOLTERO;FEMENINO;Oeste
1092; $ 351.560.250 ;2;SOLTERO;FEMENINO;Oeste
1093; $ 307.732.900 ;2;SOLTERO;FEMENINO;Oeste
1094; $ 500.742.300 ;2;SOLTERO;FEMENINO;Oeste
1095; $ 388.792.550 ;5;SOLTERO;FEMENINO;Oeste
1096; $ 449.322.800 ;2;SOLTERO;FEMENINO;Oeste
1097; $ 455.692.650 ;3;SOLTERO;FEMENINO;Oeste
1098; $ 765.697.850 ;8;SOLTERO;FEMENINO;Oeste
1099; $ 670.535.450 ;6;SOLTERO;FEMENINO;Oeste
1100; $ 327.769.500 ;3;SOLTERO;FEMENINO;Oeste
1101; $ 359.502.500 ;1;SOLTERO;FEMENINO;Oeste
1102; $ 570.724.500 ;4;SOLTERO;FEMENINO;Oeste
1103; $ 444.798.100 ;5;SOLTERO;FEMENINO;Oeste
1104; $ 407.401.500 ;5;SOLTERO;FEMENINO;Oeste
1105; $ 329.810.150 ;4;SOLTERO;FEMENINO;Oeste
1106; $ 226.275.450 ;2;SOLTERO;FEMENINO;Oeste
1107; $ 518.967.850 ;2;SOLTERO;FEMENINO;Oeste
1108; $ 408.523.300 ;1;SOLTERO;FEMENINO;Oeste
1109; $ 484.170.150 ;4;SOLTERO;FEMENINO;Oeste
1110; $ 690.111.400 ;2;SOLTERO;FEMENINO;Oeste
1111; $ 1.293.387.950 ;7;SOLTERO;FEMENINO;Oeste
1112; $ 423.546.300 ;3;SOLTERO;FEMENINO;Oeste
1113; $ 92.580.850 ;0;SOLTERO;FEMENINO;Oeste
1114; $ 442.804.550 ;8;SOLTERO;FEMENINO;Oeste
1115; $ 297.605.350 ;2;SOLTERO;FEMENINO;Oeste
1116; $ 199.032.550 ;1;SOLTERO;FEMENINO;Oeste
1117; $ 576.942.850 ;8;SOLTERO;FEMENINO;Oeste
1118; $ 423.328.700 ;0;SOLTERO;FEMENINO;Oeste
1119; $ 320.044.600 ;2;SOLTERO;FEMENINO;Oeste
1120; $ 401.695.050 ;3;SOLTERO;FEMENINO;Oeste
1121; $ 612.040.700 ;6;SOLTERO;FEMENINO;Oeste
1122; $ 304.788.900 ;6;SOLTERO;FEMENINO;Oeste
1123; $ 365.409.400 ;5;SOLTERO;FEMENINO;Oeste
1124; $ 258.932.200 ;1;SOLTERO;FEMENINO;Oeste
1125; $ 570.099.550 ;4;SOLTERO;FEMENINO;Oeste
1126; $ 494.048.650 ;8;SOLTERO;FEMENINO;Oeste
1127; $ 299.386.000 ;0;SOLTERO;FEMENINO;Oeste
1128; $ 624.177.400 ;5;SOLTERO;FEMENINO;Oeste
1129; $ 973.429.450 ;6;SOLTERO;FEMENINO;Oeste
1130; $ 328.538.200 ;3;SOLTERO;FEMENINO;Oeste
1131; $ 427.713.050 ;2;SOLTERO;FEMENINO;Oeste
1132; $ 421.319.650 ;3;SOLTERO;FEMENINO;Oeste
1133; $ 485.323.400 ;5;SOLTERO;FEMENINO;Oeste
1134; $ 906.338.150 ;5;SOLTERO;FEMENINO;Oeste
1135; $ 454.066.250 ;2;SOLTERO;FEMENINO;Oeste
1136; $ 471.995.150 ;6;SOLTERO;FEMENINO;Oeste
1137; $ 373.710.100 ;2;SOLTERO;FEMENINO;Oeste
1138; $ 442.531.000 ;7;SOLTERO;FEMENINO;Oeste
1139; $ 249.391.900 ;4;SOLTERO;FEMENINO;Oeste
1140; $ 481.365.200 ;1;SOLTERO;FEMENINO;Oeste
1141; $ 430.611.550 ;2;SOLTERO;FEMENINO;Oeste
1142; $ 363.929.000 ;2;SOLTERO;FEMENINO;Oeste
1143; $ 208.358.350 ;2;SOLTERO;FEMENINO;Oeste
1144; $ 4.484.169.950 ;9;SOLTERO;FEMENINO;Oeste
1145; $ 1.364.948.850 ;3;SOLTERO;FEMENINO;Oeste
1146; $ 945.868.550 ;4;SOLTERO;FEMENINO;Oeste
1147; $ 295.313.550 ;4;SOLTERO;FEMENINO;Oeste
1148; $ 384.149.750 ;1;SOLTERO;FEMENINO;Oeste
1149; $ 674.187.400 ;2;SOLTERO;FEMENINO;Oeste
1150; $ 350.860.550 ;4;SOLTERO;FEMENINO;Oeste
1151; $ 516.350.600 ;3;SOLTERO;FEMENINO;Oeste
1152; $ 358.748.500 ;2;SOLTERO;FEMENINO;Oeste
1153; $ 395.472.900 ;4;SOLTERO;FEMENINO;Oeste
1154; $ 521.079.500 ;5;SOLTERO;FEMENINO;Oeste
1155; $ 437.155.650 ;5;SOLTERO;FEMENINO;Oeste
1156; $ 1.319.290.000 ;5;SOLTERO;FEMENINO;Oeste
1157; $ 422.115.200 ;6;SOLTERO;FEMENINO;Oeste
1158; $ 569.087.650 ;2;SOLTERO;FEMENINO;Oeste
1159; $ 471.325.650 ;0;SOLTERO;FEMENINO;Oeste
1160; $ 87.505.750 ;2;SOLTERO;FEMENINO;Oeste
1161; $ 311.877.750 ;0;SOLTERO;FEMENINO;Oeste
1162; $ 288.635.050 ;2;SOLTERO;FEMENINO;Oeste
1163; $ 558.263.050 ;1;SOLTERO;FEMENINO;Oeste
1164; $ 1.543.674.650 ;5;SOLTERO;FEMENINO;Oeste
1165; $ 539.400.100 ;7;SOLTERO;FEMENINO;Oeste
1166; $ 690.560.700 ;5;SOLTERO;FEMENINO;Oeste
1167; $ 502.489.750 ;2;SOLTERO;FEMENINO;Oeste
1168; $ 989.740.300 ;8;SOLTERO;FEMENINO;Oeste
1169; $ 408.331.050 ;3;SOLTERO;FEMENINO;Oeste
1170; $ 408.134.450 ;7;SOLTERO;FEMENINO;Oeste
1171; $ 440.910.650 ;2;SOLTERO;FEMENINO;Oeste
1172; $ 454.411.200 ;4;SOLTERO;FEMENINO;Oeste
1173; $ 503.989.400 ;3;SOLTERO;FEMENINO;Oeste
1174; $ 181.824.050 ;3;SOLTERO;FEMENINO;Oeste
1175; $ 441.493.500 ;6;SOLTERO;FEMENINO;Oeste
1176; $ 2.182.388.550 ;7;SOLTERO;FEMENINO;Oeste
1177; $ 175.917.250 ;0;SOLTERO;FEMENINO;Oeste
1178; $ 2.045.444.400 ;3;SOLTERO;FEMENINO;Oeste
1179; $ 347.628.150 ;3;SOLTERO;FEMENINO;Oeste
1180; $ 572.464.700 ;0;SOLTERO;FEMENINO;Oeste
1181; $ 583.705.000 ;1;SOLTERO;FEMENINO;Oeste
1182; $ 627.940.000 ;4;SOLTERO;FEMENINO;Oeste
1183; $ 409.453.900 ;6;SOLTERO;FEMENINO;Oeste
1184; $ 754.422.650 ;3;SOLTERO;FEMENINO;Oeste
1185; $ 399.506.900 ;6;SOLTERO;FEMENINO;Oeste
1186; $ 982.590.500 ;5;SOLTERO;FEMENINO;Oeste
1187; $ 893.635.450 ;2;SOLTERO;FEMENINO;Oeste
1188; $ 349.523.350 ;4;SOLTERO;FEMENINO;Oeste
1189; $ 669.517.800 ;4;SOLTERO;FEMENINO;Oeste
1190; $ 666.755.750 ;2;SOLTERO;FEMENINO;Oeste
1191; $ 359.280.750 ;8;SOLTERO;FEMENINO;Oeste
1192; $ 346.954.300 ;2;SOLTERO;FEMENINO;Oeste
1193; $ 467.951.950 ;0;SOLTERO;FEMENINO;Oeste
1194; $ 332.147.850 ;5;SOLTERO;FEMENINO;Oeste
1195; $ 553.304.150 ;1;SOLTERO;FEMENINO;Oeste
1196; $ 910.601.700 ;6;SOLTERO;FEMENINO;Oeste
1197; $ 914.300.400 ;4;SOLTERO;FEMENINO;Oeste
1198; $ 322.841.950 ;0;SOLTERO;FEMENINO;Oeste
1199; $ 774.020.250 ;6;SOLTERO;FEMENINO;Oeste
1200; $ 334.655.000 ;1;SOLTERO;FEMENINO;Oeste
1201; $ 382.340.900 ;1;SOLTERO;FEMENINO;Oeste
1202; $ 439.157.350 ;6;SOLTERO;FEMENINO;Oeste
1203; $ 364.353.050 ;4;SOLTERO;FEMENINO;Oeste
1204; $ 1.732.683.650 ;3;SOLTERO;FEMENINO;Oeste
1205; $ 217.498.550 ;2;SOLTERO;FEMENINO;Oeste
1206; $ 540.667.800 ;4;SOLTERO;FEMENINO;Oeste
1207; $ 905.302.000 ;7;SOLTERO;FEMENINO;Oeste
1208; $ 654.594.300 ;8;SOLTERO;FEMENINO;Oeste
1209; $ 929.883.500 ;4;SOLTERO;FEMENINO;Oeste
1210; $ 603.237.700 ;5;SOLTERO;FEMENINO;Oeste
1211; $ 238.547.750 ;1;SOLTERO;FEMENINO;Oeste
1212; $ 447.575.100 ;3;SOLTERO;FEMENINO;Oeste
1213; $ 337.142.350 ;5;SOLTERO;FEMENINO;Oeste
1214; $ 2.987.721.800 ;7;SOLTERO;FEMENINO;Oeste
1215; $ 635.109.900 ;3;SOLTERO;FEMENINO;Oeste
1216; $ 287.274.350 ;2;SOLTERO;FEMENINO;Oeste
1217; $ 370.318.000 ;1;SOLTERO;FEMENINO;Oeste
1218; $ 415.083.100 ;0;SOLTERO;FEMENINO;Oeste
1219; $ 1.452.993.600 ;0;SOLTERO;FEMENINO;Oeste
1220; $ 356.067.750 ;3;SOLTERO;FEMENINO;Oeste
1221; $ 281.293.850 ;1;SOLTERO;FEMENINO;Oeste
1222; $ 417.043.100 ;3;SOLTERO;FEMENINO;Oeste
1223; $ 426.867.400 ;8;SOLTERO;FEMENINO;Oeste
1224; $ 520.573.950 ;2;SOLTERO;FEMENINO;Oeste
1225; $ 322.940.300 ;6;SOLTERO;FEMENINO;Oeste
1226; $ 687.327.700 ;2;SOLTERO;FEMENINO;Oeste
1227; $ 341.773.050 ;7;SOLTERO;FEMENINO;Oeste
1228; $ 358.608.550 ;4;SOLTERO;FEMENINO;Oeste
1229; $ 657.297.850 ;2;SOLTERO;FEMENINO;Oeste
1230; $ 716.376.300 ;2;SOLTERO;FEMENINO;Oeste
1231; $ 219.879.000 ;2;SOLTERO;FEMENINO;Oeste
1232; $ 315.454.100 ;3;SOLTERO;FEMENINO;Oeste
1233; $ 366.359.100 ;5;SOLTERO;FEMENINO;Oeste
1234; $ 308.199.450 ;3;SOLTERO;FEMENINO;Oeste
1235; $ 535.704.600 ;2;SOLTERO;FEMENINO;Oeste
1236; $ 443.403.700 ;4;SOLTERO;FEMENINO;Oeste
1237; $ 710.442.350 ;2;SOLTERO;FEMENINO;Oeste
1238; $ 440.201.200 ;1;SOLTERO;FEMENINO;Oeste
1239; $ 432.608.950 ;6;SOLTERO;FEMENINO;Oeste
1240; $ 456.787.700 ;2;SOLTERO;FEMENINO;Oeste
1241; $ 360.932.800 ;3;SOLTERO;FEMENINO;Oeste
1242; $ 186.869.650 ;3;SOLTERO;FEMENINO;Oeste
1243; $ 336.190.400 ;5;SOLTERO;FEMENINO;Oeste
1244; $ 258.694.300 ;4;SOLTERO;FEMENINO;Oeste
1245; $ 706.992.350 ;8;SOLTERO;FEMENINO;Oeste
1246; $ 410.228.150 ;5;SOLTERO;FEMENINO;Oeste
1247; $ 260.399.950 ;6;SOLTERO;FEMENINO;Oeste
1248; $ 285.414.300 ;2;SOLTERO;FEMENINO;Oeste
1249; $ 366.404.700 ;1;SOLTERO;FEMENINO;Oeste
1250; $ 128.655.900 ;3;SOLTERO;FEMENINO;Oeste
1251; $ 629.678.150 ;7;SOLTERO;FEMENINO;Oeste
1252; $ 143.779.550 ;2;SOLTERO;FEMENINO;Oeste
1253; $ 275.600.500 ;1;SOLTERO;FEMENINO;Oeste
1254; $ 514.014.500 ;9;SOLTERO;FEMENINO;Oeste
1255; $ 405.302.200 ;2;SOLTERO;FEMENINO;Oeste
1256; $ 435.500.500 ;2;SOLTERO;FEMENINO;Oeste
1257; $ 352.800.450 ;3;SOLTERO;FEMENINO;Oeste
1258; $ 480.968.200 ;2;SOLTERO;FEMENINO;Oeste
1259; $ 661.549.500 ;3;SOLTERO;FEMENINO;Oeste
1260; $ 952.892.700 ;6;SOLTERO;FEMENINO;Oeste
1261; $ 1.561.405.200 ;2;SOLTERO;FEMENINO;Oeste
1262; $ 436.478.500 ;2;SOLTERO;FEMENINO;Oeste
1263; $ 162.014.850 ;3;SOLTERO;FEMENINO;Oeste
1264; $ 2.038.387.650 ;6;SOLTERO;FEMENINO;Oeste
1265; $ 484.574.350 ;5;SOLTERO;FEMENINO;Oeste
1266; $ 541.990.500 ;6;SOLTERO;FEMENINO;Oeste
1267; $ 413.280.100 ;1;SOLTERO;FEMENINO;Oeste
1268; $ 493.014.900 ;8;SOLTERO;FEMENINO;Oeste
1269; $ 513.670.500 ;5;SOLTERO;FEMENINO;Norte
1270; $ 548.817.150 ;4;SOLTERO;FEMENINO;Norte
1271; $ 374.432.300 ;5;SOLTERO;FEMENINO;Norte
1272; $ 1.001.461.300 ;2;SOLTERO;FEMENINO;Norte
1273; $ 515.215.600 ;5;SOLTERO;FEMENINO;Norte
1274; $ 449.637.050 ;2;SOLTERO;FEMENINO;Norte
1275; $ 439.902.750 ;6;SOLTERO;FEMENINO;Norte
1276; $ 433.980.650 ;2;SOLTERO;FEMENINO;Norte
1277; $ 353.417.000 ;0;SOLTERO;FEMENINO;Norte
1278; $ 275.263.100 ;5;SOLTERO;FEMENINO;Norte
1279; $ 98.509.100 ;1;SOLTERO;FEMENINO;Norte
1280; $ 745.315.400 ;4;SOLTERO;FEMENINO;Norte
1281; $ 457.946.850 ;0;SOLTERO;FEMENINO;Norte
1282; $ 564.978.300 ;8;SOLTERO;FEMENINO;Norte
1283; $ 561.352.200 ;4;SOLTERO;FEMENINO;Norte
1284; $ 424.520.500 ;9;SOLTERO;FEMENINO;Norte
1285; $ 636.797.250 ;0;SOLTERO;FEMENINO;Norte
1286; $ 653.958.100 ;4;SOLTERO;FEMENINO;Norte
1287; $ 177.754.050 ;2;SOLTERO;FEMENINO;Norte
1288; $ 506.535.350 ;5;SOLTERO;FEMENINO;Norte
1289; $ 428.103.950 ;2;SOLTERO;FEMENINO;Norte
1290; $ 448.833.250 ;1;SOLTERO;FEMENINO;Norte
1291; $ 488.923.150 ;4;SOLTERO;FEMENINO;Norte
1292; $ 374.847.000 ;2;SOLTERO;FEMENINO;Norte
1293; $ 495.703.000 ;4;SOLTERO;FEMENINO;Norte
1294; $ 493.398.900 ;4;SOLTERO;FEMENINO;Norte
1295; $ 616.151.900 ;7;SOLTERO;FEMENINO;Norte
1296; $ 400.088.250 ;4;SOLTERO;FEMENINO;Norte
1297; $ 415.760.750 ;4;SOLTERO;FEMENINO;Norte
1298; $ 348.064.400 ;3;SOLTERO;FEMENINO;Norte
1299; $ 383.321.750 ;2;SOLTERO;FEMENINO;Norte
1300; $ 626.484.950 ;9;SOLTERO;FEMENINO;Norte
1301; $ 413.227.450 ;3;SOLTERO;FEMENINO;Norte
1302; $ 1.794.153.200 ;1;SOLTERO;FEMENINO;Norte
1303; $ 455.615.250 ;1;SOLTERO;FEMENINO;Norte
1304; $ 378.904.400 ;1;SOLTERO;FEMENINO;Norte
1305; $ 433.389.300 ;6;SOLTERO;FEMENINO;Norte
1306; $ 562.589.400 ;5;SOLTERO;FEMENINO;Norte
1307; $ 734.261.600 ;4;SOLTERO;FEMENINO;Norte
1308; $ 788.949.450 ;9;SOLTERO;FEMENINO;Norte
1309; $ 740.842.750 ;6;SOLTERO;FEMENINO;Norte
1310; $ 462.426.850 ;0;SOLTERO;FEMENINO;Norte
1311; $ 462.934.650 ;2;SOLTERO;FEMENINO;Norte
1312; $ 253.019.100 ;4;SOLTERO;FEMENINO;Norte
1313; $ 449.558.950 ;6;SOLTERO;FEMENINO;Norte
1314; $ 633.498.350 ;4;SOLTERO;FEMENINO;Norte
1315; $ 623.173.400 ;3;SOLTERO;FEMENINO;Norte
1316; $ 167.463.100 ;1;SOLTERO;FEMENINO;Norte
1317; $ 595.970.700 ;1;SOLTERO;FEMENINO;Norte
1318; $ 142.782.200 ;2;SOLTERO;FEMENINO;Norte
1319; $ 386.188.050 ;0;SOLTERO;FEMENINO;Norte
1320; $ 513.036.900 ;4;SOLTERO;FEMENINO;Norte
1321; $ 341.965.650 ;2;SOLTERO;FEMENINO;Norte
1322; $ 487.463.850 ;1;SOLTERO;FEMENINO;Norte
1323; $ 527.306.450 ;3;SOLTERO;FEMENINO;Norte
1324; $ 404.597.950 ;3;SOLTERO;FEMENINO;Norte
1325; $ 356.013.750 ;3;SOLTERO;FEMENINO;Norte
1326; $ 692.363.550 ;4;SOLTERO;FEMENINO;Norte
1327; $ 435.557.200 ;5;SOLTERO;FEMENINO;Norte
1328; $ 352.117.000 ;3;SOLTERO;FEMENINO;Norte
1329; $ 410.621.600 ;8;SOLTERO;FEMENINO;Norte
1330; $ 819.095.250 ;7;SOLTERO;FEMENINO;Norte
1331; $ 463.341.100 ;8;SOLTERO;FEMENINO;Norte
1332; $ 589.484.550 ;6;SOLTERO;FEMENINO;Norte
1333; $ 645.754.400 ;0;SOLTERO;FEMENINO;Norte
1334; $ 386.177.450 ;4;SOLTERO;FEMENINO;Norte
1335; $ 680.340.750 ;6;SOLTERO;FEMENINO;Norte
1336; $ 598.580.900 ;6;SOLTERO;FEMENINO;Norte
1337; $ 312.601.600 ;1;SOLTERO;FEMENINO;Norte
1338; $ 435.686.900 ;1;SOLTERO;FEMENINO;Norte
1339; $ 276.701.350 ;1;SOLTERO;FEMENINO;Norte
1340; $ 336.697.950 ;1;SOLTERO;FEMENINO;Norte
1341; $ 733.391.100 ;5;SOLTERO;FEMENINO;Norte
1342; $ 278.121.350 ;2;SOLTERO;FEMENINO;Norte
1343; $ 493.394.600 ;1;SOLTERO;FEMENINO;Norte
1344; $ 436.711.300 ;3;SOLTERO;FEMENINO;Norte
1345; $ 1.100.549.400 ;3;SOLTERO;FEMENINO;Norte
1346; $ 376.119.250 ;4;SOLTERO;FEMENINO;Norte
1347; $ 297.572.250 ;2;SOLTERO;FEMENINO;Norte
1348; $ 239.752.400 ;0;SOLTERO;FEMENINO;Norte
1349; $ 528.931.600 ;3;SOLTERO;FEMENINO;Norte
1350; $ 2.555.631.650 ;4;SOLTERO;FEMENINO;Norte
1351; $ 645.616.150 ;4;SOLTERO;FEMENINO;Norte
1352; $ 612.008.100 ;5;SOLTERO;FEMENINO;Norte
1353; $ 355.714.400 ;7;SOLTERO;FEMENINO;Norte
1354; $ 799.846.400 ;5;SOLTERO;FEMENINO;Norte
1355; $ 407.951.050 ;5;SOLTERO;FEMENINO;Norte
1356; $ 288.981.300 ;2;SOLTERO;FEMENINO;Norte
1357; $ 483.442.600 ;5;SOLTERO;FEMENINO;Norte
1358; $ 462.550.950 ;2;SOLTERO;FEMENINO;Norte
1359; $ 911.682.850 ;1;SOLTERO;FEMENINO;Norte
1360; $ 1.171.449.550 ;7;SOLTERO;FEMENINO;Norte
1361; $ 841.133.550 ;5;SOLTERO;FEMENINO;Norte
1362; $ 661.100.050 ;0;SOLTERO;FEMENINO;Norte
1363; $ 565.787.250 ;5;SOLTERO;FEMENINO;Norte
1364; $ 804.274.100 ;5;SOLTERO;FEMENINO;Norte
1365; $ 1.282.737.900 ;6;SOLTERO;FEMENINO;Norte
1366; $ 566.894.750 ;8;SOLTERO;FEMENINO;Norte
1367; $ 1.299.662.250 ;3;SOLTERO;FEMENINO;Norte
1368; $ 602.457.800 ;4;SOLTERO;FEMENINO;Norte
1369; $ 5.860.604.700 ;9;SOLTERO;FEMENINO;Norte
1370; $ 602.755.750 ;1;SOLTERO;FEMENINO;Norte
1371; $ 1.935.598.400 ;3;SOLTERO;FEMENINO;Norte
1372; $ 1.744.213.000 ;3;SOLTERO;FEMENINO;Norte
1373; $ 1.433.069.650 ;2;SOLTERO;FEMENINO;Norte
1374; $ 2.403.764.350 ;9;SOLTERO;FEMENINO;Norte
1375; $ 838.133.500 ;1;SOLTERO;FEMENINO;Norte
1376; $ 367.155.850 ;5;SOLTERO;FEMENINO;Norte
1377; $ 324.576.100 ;4;SOLTERO;FEMENINO;Norte
1378; $ 913.065.950 ;5;SOLTERO;FEMENINO;Norte
1379; $ 1.248.186.400 ;2;SOLTERO;FEMENINO;Norte
1380; $ 423.822.350 ;3;SOLTERO;FEMENINO;Norte
1381; $ 622.612.750 ;2;SOLTERO;FEMENINO;Norte
1382; $ 571.803.100 ;3;SOLTERO;FEMENINO;Norte
1383; $ 661.449.700 ;6;SOLTERO;FEMENINO;Norte
1384; $ 393.695.550 ;5;SOLTERO;FEMENINO;Norte
1385; $ 349.727.500 ;6;SOLTERO;FEMENINO;Norte
1386; $ 288.017.700 ;2;SOLTERO;FEMENINO;Norte
1387; $ 889.368.350 ;5;SOLTERO;FEMENINO;Norte
1388; $ 465.799.800 ;5;SOLTERO;FEMENINO;Norte
1389; $ 768.965.900 ;2;SOLTERO;FEMENINO;Norte
1390; $ 386.584.700 ;4;SOLTERO;FEMENINO;Norte
1391; $ 1.258.405.400 ;4;SOLTERO;FEMENINO;Norte
1392; $ 421.936.250 ;5;SOLTERO;FEMENINO;Norte
1393; $ 1.628.814.500 ;3;SOLTERO;FEMENINO;Norte
1394; $ 633.715.000 ;3;SOLTERO;FEMENINO;Norte
1395; $ 730.746.100 ;9;SOLTERO;FEMENINO;Norte
1396; $ 577.008.500 ;4;SOLTERO;FEMENINO;Norte
1397; $ 370.384.200 ;4;SOLTERO;FEMENINO;Norte
1398; $ 405.420.950 ;4;SOLTERO;FEMENINO;Norte
1399; $ 391.268.150 ;2;SOLTERO;FEMENINO;Norte
1400; $ 483.840.050 ;1;SOLTERO;FEMENINO;Norte
1401; $ 495.600.700 ;4;SOLTERO;FEMENINO;Norte
1402; $ 3.575.532.900 ;5;SOLTERO;FEMENINO;Norte
1403; $ 878.390.000 ;5;SOLTERO;FEMENINO;Norte
1404; $ 1.737.456.750 ;6;SOLTERO;FEMENINO;Norte
1405; $ 758.563.450 ;3;SOLTERO;FEMENINO;Norte
1406; $ 429.535.350 ;4;SOLTERO;FEMENINO;Norte
1407; $ 1.401.293.250 ;5;SOLTERO;FEMENINO;Norte
1408; $ 705.175.000 ;3;SOLTERO;FEMENINO;Norte
1409; $ 444.010.650 ;4;SOLTERO;FEMENINO;Norte
1410; $ 293.567.350 ;2;SOLTERO;FEMENINO;Norte
1411; $ 742.381.600 ;4;SOLTERO;FEMENINO;Norte
1412; $ 687.245.450 ;5;SOLTERO;FEMENINO;Norte
1413; $ 1.678.092.700 ;3;SOLTERO;FEMENINO;Norte
1414; $ 483.778.300 ;4;SOLTERO;FEMENINO;Norte
1415; $ 258.565.600 ;3;SOLTERO;FEMENINO;Norte
1416; $ 558.526.900 ;0;SOLTERO;FEMENINO;Norte
1417; $ 379.947.700 ;3;SOLTERO;FEMENINO;Norte
1418; $ 999.079.400 ;1;SOLTERO;FEMENINO;Norte
1419; $ 450.359.300 ;3;SOLTERO;FEMENINO;Norte
1420; $ 449.965.150 ;8;SOLTERO;FEMENINO;Norte
